v_link_id,road_rank,k_length,sido_id,sigungu_id,emd_id,sido_name,sigungu_name,emd_name,TI_CG
47714279201,107,0.496,31000,31240,31240390,경기도,화성시,장안면,11.24
57134681402,107,0.073,31000,31240,31240610,경기도,화성시,동탄1동,91.27
57164853302,104,0.029,11000,11240,11240620,서울특별시,송파구,송파2동,92.66
57168287801,104,0.167,11000,11240,11240660,서울특별시,송파구,가락1동,33.37
57154330602,107,0.112,31000,31021,31021660,경기도,성남시수정구,시흥동,98.19
57265005401,107,0.05,31000,31021,31021590,경기도,성남시수정구,수진2동,99.48
47725493301,107,0.016,31000,31240,31240150,경기도,화성시,남양읍,98.28
47746184602,107,0.044,31000,31240,31240670,경기도,화성시,새솔동,99.3
57264229401,101,0.456,11000,11240,11240810,서울특별시,송파구,장지동,81.62
57266239302,104,0.053,11000,11240,11240550,서울특별시,송파구,마천1동,98.39
47840225101,107,0.042,31000,31240,31240330,경기도,화성시,비봉면,5.92
57277623201,101,0.132,31000,31180,31180510,경기도,하남시,천현동,95.5
47825093601,107,0.371,31000,31240,31240140,경기도,화성시,향남읍,47.96
47734079501,107,0.071,31000,31240,31240350,경기도,화성시,마도면,95.28
57265043301,107,0.061,31000,31022,31022540,경기도,성남시중원구,금광2동,32.66
57261124002,107,0.3,31000,31022,31022540,경기도,성남시중원구,금광2동,18.67
57136340602,107,0.037,31000,31240,31240550,경기도,화성시,반월동,99.73
47735089202,107,0.126,31000,31240,31240350,경기도,화성시,마도면,95.79
57277897201,103,0.146,31000,31180,31180520,경기도,하남시,신장1동,99.99
57154229702,107,0.131,31000,31023,31023720,경기도,성남시분당구,구미1동,55.1
57154926602,107,0.17,31000,31023,31023680,경기도,성남시분당구,운중동,91.67
92265510202,104,0.251,11000,11240,11240560,서울특별시,송파구,마천2동,42.14
47830067701,101,2.243,31000,31240,31240310,경기도,화성시,매송면,77.67
47825835102,106,0.086,31000,31240,31240140,경기도,화성시,향남읍,86.1
47825188001,106,0.046,31000,31240,31240140,경기도,화성시,향남읍,99.99
57125488502,107,0.037,31000,31240,31240691,경기도,화성시,동탄7동,71.49
57134681701,107,0.071,31000,31240,31240610,경기도,화성시,동탄1동,95.63
92136715202,107,0.195,31000,31240,31240650,경기도,화성시,동탄5동,96.6
57150102401,107,0.178,31000,31023,31023530,경기도,성남시분당구,수내1동,47.73
57135402801,107,0.025,31000,31240,31240520,경기도,화성시,진안동,49.99
47824656402,107,0.05,31000,31240,31240140,경기도,화성시,향남읍,86.91
57266107401,107,0.026,31000,31022,31022560,경기도,성남시중원구,은행2동,95.04
57150130201,107,0.041,31000,31023,31023720,경기도,성남시분당구,구미1동,46.15
57137713402,107,0.156,31000,31240,31240650,경기도,화성시,동탄5동,64.98
47824423601,107,0.107,31000,31240,31240140,경기도,화성시,향남읍,87.19
57136999602,107,0.041,31000,31240,31240700,경기도,화성시,동탄6동,80.32
57135398402,105,0.039,31000,31240,31240520,경기도,화성시,진안동,99.92
57264566202,107,0.016,31000,31022,31022530,경기도,성남시중원구,금광1동,63.34
47824454201,105,0.354,31000,31240,31240140,경기도,화성시,향남읍,86.23
57134742102,107,0.165,31000,31240,31240600,경기도,화성시,동탄2동,26.78
