v_link_id,FRIN_CG,outlier_flag
57155811401,57.05,False
57275538101,28.93,False
57134792701,93.85,False
57139008401,18.05,False
57166297201,13.46,False
57264441101,42.17,False
57265554002,50.44,False
57134372302,91.68,False
57134982202,44.91,False
57166462301,51.8,False
57138314101,66.9,False
57255346201,88.68,False
57264631102,54.79,False
57135140301,67.63,False
57266117402,86.17,False
47814940401,75.34,False
47714057501,26.57,False
57137675001,92.95,False
57265334402,31.91,False
47714152302,66.27,False
57250073902,70.18,False
47834651202,71.14,False
47725311401,81.39,False
57136817402,2.98,False
57254359601,87.95,False
47824059901,34.43,False
57261043901,6.13,False
57168228802,56.32,False
47734143101,57.49,False
47814936801,94.22,False
57255086601,88.07,False
57156519402,21.24,False
57271018502,89.28,False
47735247802,73.64,False
47634537802,26.26,False
47734868001,99.17,False
47624060601,73.49,False
57136480801,69.96,False
47824204701,18.32,False
57137204401,32.27,False
57278245002,61.3,False
57166317602,93.52,False
57154068402,85.81,False
47834102402,88.21,False
57137063801,42.1,False
57138182202,74.77,False
57264756801,6.03,False
47634407802,55.59,False
57155179802,63.37,False
57137082001,10.36,False
47835487202,95.48,False
57266274302,84.08,False
47824884801,41.18,False
57135581202,86.76,False
47824875002,82.31,False
57154578801,55.6,False
47834160201,77.05,False
47714957102,33.11,False
57136431802,99.39,False
47835664701,28.49,False
47724641202,64.83,False
47824432202,72.28,False
57278248801,49.71,False
47824224401,58.49,False
57266306601,71.46,False
47734790201,71.59,False
57136699201,75.04,False
57235015101,8.52,False
57166830801,56.06,False
57264199701,23.45,False
47834224802,19.46,False
47834417901,94.87,False
57137555501,69.22,False
57171915502,94.04,False
57265620802,36.7,False
47734094402,9.66,False
57265913401,38.94,False
57271015901,49.02,False
57154413801,15.11,False
47735082802,64.68,False
47724918201,5.42,False
57135409201,97.31,False
47824291201,99.94,False
47835929302,54.43,False
57276762402,82.29,False
57267209301,98.35,False
47714639402,99.36,False
47834526601,70.32,False
47824253001,56.68,False
57254855401,91.94,False
57154202002,83.54,False
57271000802,79.98,False
57137436901,8.26,False
57150032501,97.47,False
47734922202,68.0,False
47825015601,16.13,False
57135589202,98.38,False
57254398601,0.13,False
57234944201,22.66,False
57265522602,19.68,False
47735522002,1.02,False
57267094402,72.8,False
57276911102,59.05,False
47634161802,14.84,False
47825321201,85.6,False
47835836602,99.04,False
57150128902,90.32,False
57251006901,95.34,False
57155588602,95.65,False
47634556402,8.73,False
47825355502,99.95,False
57265580402,47.91,False
57260338402,33.17,False
57254059302,83.16,False
57135072701,93.05,False
92266237402,78.89,False
57250120602,10.5,False
47835290002,68.49,False
57254200802,60.03,False
57135049802,83.39,False
57134888402,58.16,False
47825573201,97.87,False
57137144901,76.34,False
47834098502,78.1,False
57266604501,37.42,False
57134779401,84.1,False
57125522501,99.16,False
57137095902,79.75,False
57125883001,12.58,False
57156520901,82.31,False
57155587601,99.03,False
57154983802,35.9,False
57278140601,87.68,False
47634132902,99.18,False
47824933802,63.1,False
47825097802,62.09,False
57166106201,95.35,False
57137201601,50.84,False
57137132102,68.82,False
57171447601,0.0,False
57137040802,18.67,False
57276633001,94.29,False
47834224502,41.4,False
57254354901,94.22,False
57266244302,69.53,False
47834781401,97.85,False
57154341901,67.35,False
57155329002,96.31,False
57172052301,44.61,False
47735105001,52.48,False
47834358102,26.75,False
57250035401,92.8,False
47734924801,99.77,False
57260324301,12.81,False
47835375501,62.41,False
57270293701,33.41,False
47714900501,97.73,False
57174370402,95.71,False
47834693002,92.23,False
57173322801,68.4,False
57125434902,84.14,False
57150108501,21.21,False
57278207401,83.93,False
57134950301,25.12,False
57265498601,89.15,False
47836398301,77.97,False
57154497101,6.1,False
57170457601,8.57,False
47714238001,63.51,False
57234926402,77.89,False
57125462001,7.18,False
57150026702,91.25,False
57265839801,86.17,False
47735515101,34.65,False
47714147902,64.24,False
57255122202,73.75,False
57154097902,32.12,False
57166374402,22.58,False
47845575201,38.49,False
57137131801,75.19,False
57125444202,72.68,False
57155556802,92.18,False
57154466602,94.1,False
57137764302,79.66,False
47835283201,77.02,False
57264695301,37.06,False
57264110701,93.44,False
47814145502,8.2,False
47724440201,53.93,False
57254540102,81.55,False
57265924602,71.95,False
57155484401,45.31,False
57134185901,95.29,False
202300035501,80.46,False
57254220202,46.82,False
47825310602,80.19,False
57125477202,59.26,False
47814904402,77.88,False
47724323201,65.06,False
57175994701,33.1,False
57276794001,71.25,False
57276516201,45.83,False
57155764402,8.41,False
57134927902,90.44,False
47724391401,33.03,False
57274888602,80.97,False
57134783501,98.06,False
57134314302,99.3,False
57137068201,87.5,False
57134720301,4.61,False
57137059901,17.39,False
57261082602,93.83,False
57277460102,90.99,False
57264617102,71.51,False
57267135601,75.66,False
57276718902,43.24,False
47835267802,1.02,False
57177280501,20.19,False
57168234901,71.03,False
57276727202,37.83,False
57261099101,48.87,False
57154492802,37.77,False
57137146101,84.66,False
47824444601,89.05,False
57137037901,6.42,False
57267143201,50.32,False
57155708802,34.12,False
57137212901,93.57,False
57276807701,95.61,False
57264814801,23.22,False
57137748701,59.07,False
47724699801,16.8,False
