v_link_id,TI_CG,outlier_flag
47714279201,11.24,False
57134681402,91.27,False
57164853302,92.66,False
57168287801,33.37,False
57154330602,98.19,False
57265005401,99.48,False
47725493301,98.28,False
47746184602,99.3,False
57264229401,81.62,False
57266239302,98.39,False
47840225101,5.92,False
57277623201,95.5,False
47825093601,47.96,False
47734079501,95.28,False
57265043301,32.66,False
57261124002,18.67,False
57136340602,99.73,False
47735089202,95.79,False
57277897201,99.99,False
57154229702,55.1,False
57154926602,91.67,False
92265510202,42.14,False
47830067701,77.67,False
47825835102,86.1,False
47825188001,99.99,False
57125488502,71.49,False
57134681701,95.63,False
92136715202,96.6,False
57150102401,47.73,False
57135402801,49.99,False
47824656402,86.91,False
57266107401,95.04,False
57150130201,46.15,False
57137713402,64.98,False
47824423601,87.19,False
57136999602,80.32,False
57135398402,99.92,False
57264566202,63.34,False
47824454201,86.23,False
57134742102,26.78,False
57151017502,98.59,False
57134364501,96.35,False
47835700001,97.09,False
57138033102,96.14,False
57136794601,97.71,False
47825575502,99.76,False
57154166702,97.84,False
47734145001,74.01,False
47835369801,10.28,False
57150115202,34.3,False
47735055802,97.45,False
57266213101,75.71,False
47735740801,35.01,False
57254349601,73.48,False
57134834402,97.22,False
57265014002,93.61,False
47714764001,96.94,False
47735363901,72.29,False
57134952502,94.66,False
57264038502,88.65,False
57137534301,93.8,False
47824090302,99.86,False
57267258202,60.49,False
57134643602,99.92,False
57171899102,99.88,False
47634514402,97.99,False
57155748401,92.6,False
57155764202,98.67,False
47735166602,53.67,False
47634414002,94.96,False
57277506701,13.79,False
57276667801,82.86,False
57254250101,98.31,False
57266654101,93.65,False
47634091702,98.59,False
57260326202,85.65,False
47835656101,8.86,False
47724807001,99.99,False
57160358902,33.89,False
57138652002,95.08,False
57168236701,99.51,False
57265322402,78.11,False
57267177802,2.4,False
57264929202,93.62,False
47835258802,97.97,False
57134808602,92.69,False
57135025601,33.99,False
47714030402,75.1,False
57134432601,99.87,False
47824643002,37.16,False
57254273502,99.12,False
57135150901,96.61,False
57264721502,98.88,False
47825169602,99.99,False
47825444301,0.8,False
47824854801,54.06,False
57250039002,97.27,False
57267185701,2.85,False
57135909601,45.49,False
57155638202,91.0,False
57156518601,89.12,False
57276664201,99.15,False
57137036902,99.03,False
57255302201,19.8,False
57137214701,95.3,False
47724123202,30.14,False
57266062002,48.18,False
57170348801,88.47,False
47735237902,99.23,False
57264645201,86.97,False
57154139902,58.51,False
57250088001,92.27,False
57154876401,89.26,False
47734844201,100.0,False
47834096202,43.45,False
57134934402,99.31,False
57266875302,47.35,False
47634130602,94.05,False
57265548201,91.18,False
57136727802,80.79,False
57177304902,40.16,False
57250093301,74.92,False
57265554801,41.17,False
47724106201,98.68,False
57138288802,97.32,False
57137014601,92.15,False
57261109201,98.74,False
57264630301,98.58,False
57135076001,65.7,False
47634045501,71.46,False
57267246001,99.34,False
57135912202,92.45,False
57235677901,37.89,False
57266153601,41.08,False
57137103601,82.22,False
47824075802,62.75,False
57250111601,31.3,False
47746034902,98.51,False
57251036002,89.7,False
57264696701,90.27,False
57250029802,98.73,False
57251000501,96.31,False
47824309902,99.96,False
57235536302,80.13,False
57275044001,99.99,False
47724862701,61.95,False
47714601201,18.98,False
57266257702,97.35,False
57264796901,61.14,False
57264712302,94.91,False
57154278702,83.74,False
47714096601,99.61,False
57251035801,2.2,False
57151024402,98.1,False
47724092901,99.66,False
57154971401,93.83,False
57265606402,59.65,False
57125441302,62.93,False
57135047801,96.27,False
57277625401,99.39,False
57266318902,84.74,False
57155651801,19.56,False
47634545602,78.43,False
47634110301,96.57,False
57135020001,96.65,False
57155187602,95.5,False
57154513202,45.71,False
47714115601,26.48,False
57156487201,60.22,False
47734855401,92.51,False
47824819202,99.79,False
57264689501,20.54,False
47634118601,94.82,False
57125459302,96.27,False
57155742601,84.78,False
57278116402,64.7,False
57125528802,94.94,False
57264722901,97.39,False
57266259001,98.39,False
57177334101,50.54,False
57136243802,93.35,False
47735166901,85.82,False
47847651601,55.0,False
57154194501,99.87,False
47825516902,99.16,False
57274858602,16.16,False
57156518902,88.34,False
47834062301,99.79,False
57264297601,51.84,False
57136574002,97.26,False
47724420802,43.18,False
57154241101,99.42,False
57137657101,20.44,False
57171979801,56.34,False
47846686901,77.95,False
57155093801,76.87,False
47624304302,61.37,False
47724276202,99.24,False
57125548101,92.35,False
47825516701,95.02,False
202300260901,16.63,False
47825217201,13.05,False
47835699702,95.57,False
57134416902,97.69,False
47714668001,62.82,False
57278302301,49.7,False
57154390901,99.93,False
57136724601,78.56,False
57150059401,93.14,False
57276680401,77.27,False
57278463301,2.34,False
57250045101,91.27,False
47825323602,96.33,False
57254220401,87.48,False
57177272001,14.52,False
47724505001,17.03,False
57167993201,95.91,False
57275587201,13.16,False
47714204301,33.72,False
47825235201,78.68,False
47735683902,99.97,False
47835304601,53.86,False
47734059201,24.45,False
57137074702,78.1,False
47734145401,90.88,False
57177182501,70.24,False
92136704201,94.85,False
57165239302,88.19,False
57125538502,97.11,False
57134860501,96.45,False
47714957201,78.63,False
57177340601,100.0,False
47814900801,53.72,False
57136745002,25.53,False
57137555602,80.11,False
47834739601,11.17,False
47735054001,75.74,False
57267028301,100.0,False
57125535502,93.02,False
57135046401,76.52,False
47714344202,99.26,False
57154354201,92.19,False
57150058301,94.37,False
57266619102,90.41,False
57264704601,91.97,False
47834131201,99.68,False
57275541702,99.29,False
57155739801,98.88,False
57154217701,99.44,False
57267232602,12.95,False
57254602302,99.56,False
57137145702,90.97,False
47824135902,5.0,False
57266600901,99.5,False
57254104301,72.17,False
