gid,pop,sigungu,emd
다사642368,154,성남시,고등동
다사643368,88,성남시,고등동
다사641369,78,성남시,고등동
다사644368,58,성남시,고등동
다사647365,56,성남시,고등동
다사642367,53,성남시,고등동
다사642366,51,성남시,고등동
다사641368,46,성남시,고등동
다사642369,45,성남시,고등동
다사646364,38,성남시,고등동
다사643366,37,성남시,고등동
다사643367,36,성남시,고등동
다사643365,35,성남시,고등동
다사647367,34,성남시,고등동
다사646368,28,성남시,고등동
다사647363,27,성남시,고등동
다사644364,24,성남시,고등동
다사645365,24,성남시,고등동
다사646363,23,성남시,고등동
다사647368,22,성남시,고등동
다사645364,21,성남시,고등동
다사646365,21,성남시,고등동
다사646369,20,성남시,고등동
다사641367,18,성남시,고등동
다사646362,16,성남시,고등동
다사641366,15,성남시,고등동
다사647369,14,성남시,고등동
다사644365,13,성남시,고등동
다사645368,13,성남시,고등동
다사645362,11,성남시,고등동
다사621370,8,성남시,고등동
다사642365,8,성남시,고등동
다사642375,8,성남시,고등동
다사644369,8,성남시,고등동
다사645369,8,성남시,고등동
다사647362,8,성남시,고등동
다사617363,5,성남시,고등동
다사618363,5,성남시,고등동
다사619365,5,성남시,고등동
다사622370,5,성남시,고등동
다사631373,5,성남시,고등동
다사635374,5,성남시,고등동
다사642372,5,성남시,고등동
다사646370,5,성남시,고등동
다사648365,5,성남시,고등동
다사648366,5,성남시,고등동
다사648367,5,성남시,고등동
다사649365,5,성남시,고등동
다사649366,5,성남시,고등동
다사619364,N/A,성남시,고등동
다사619366,N/A,성남시,고등동
다사620365,N/A,성남시,고등동
다사622369,N/A,성남시,고등동
다사632373,N/A,성남시,고등동
다사640367,N/A,성남시,고등동
다사640368,N/A,성남시,고등동
다사641365,N/A,성남시,고등동
다사643376,N/A,성남시,고등동
다사645371,N/A,성남시,고등동
다사650367,N/A,성남시,고등동
다사660276,66,성남시,구미1동
다사646271,58,성남시,구미1동
다사657276,53,성남시,구미1동
다사658276,45,성남시,구미1동
다사661278,40,성남시,구미1동
다사656277,39,성남시,구미1동
다사661279,39,성남시,구미1동
다사657275,38,성남시,구미1동
다사656276,33,성남시,구미1동
다사656278,33,성남시,구미1동
다사652275,30,성남시,구미1동
다사657278,30,성남시,구미1동
다사645271,28,성남시,구미1동
다사658277,26,성남시,구미1동
다사661280,26,성남시,구미1동
다사643271,25,성남시,구미1동
다사652277,25,성남시,구미1동
다사657277,24,성남시,구미1동
다사658278,24,성남시,구미1동
다사660278,24,성남시,구미1동
다사644271,22,성남시,구미1동
다사656275,22,성남시,구미1동
다사661277,22,성남시,구미1동
다사658279,20,성남시,구미1동
다사659278,20,성남시,구미1동
다사659279,18,성남시,구미1동
다사660279,18,성남시,구미1동
다사661275,18,성남시,구미1동
다사660277,16,성남시,구미1동
다사652276,15,성남시,구미1동
다사661276,15,성남시,구미1동
다사659280,14,성남시,구미1동
다사658275,12,성남시,구미1동
다사649272,8,성남시,구미1동
다사653278,8,성남시,구미1동
다사654275,8,성남시,구미1동
다사654276,8,성남시,구미1동
다사654277,8,성남시,구미1동
다사655275,8,성남시,구미1동
다사658280,8,성남시,구미1동
다사660275,8,성남시,구미1동
다사660281,8,성남시,구미1동
다사661281,8,성남시,구미1동
다사662279,8,성남시,구미1동
다사662280,8,성남시,구미1동
다사644275,5,성남시,구미1동
다사645273,5,성남시,구미1동
다사645274,5,성남시,구미1동
다사650273,5,성남시,구미1동
다사652279,5,성남시,구미1동
다사654274,5,성남시,구미1동
다사654279,5,성남시,구미1동
다사655276,5,성남시,구미1동
다사655277,5,성남시,구미1동
다사656279,5,성남시,구미1동
다사659281,5,성남시,구미1동
다사660280,5,성남시,구미1동
다사660282,5,성남시,구미1동
다사661282,5,성남시,구미1동
다사662278,5,성남시,구미1동
다사662281,5,성남시,구미1동
다사625284,N/A,성남시,구미1동
다사651272,N/A,성남시,구미1동
다사655274,N/A,성남시,구미1동
다사662275,N/A,성남시,구미1동
다사660263,80,성남시,구미동
다사661264,75,성남시,구미동
다사663263,59,성남시,구미동
다사662262,55,성남시,구미동
다사662267,55,성남시,구미동
다사662263,50,성남시,구미동
다사662268,47,성남시,구미동
다사662266,45,성남시,구미동
다사659267,44,성남시,구미동
다사659268,43,성남시,구미동
다사659262,36,성남시,구미동
다사659266,36,성남시,구미동
다사663267,35,성남시,구미동
다사658267,34,성남시,구미동
다사661268,34,성남시,구미동
다사658264,32,성남시,구미동
다사657265,31,성남시,구미동
다사659263,30,성남시,구미동
다사663262,29,성남시,구미동
다사651264,28,성남시,구미동
다사658262,28,성남시,구미동
다사661266,28,성남시,구미동
다사659264,26,성남시,구미동
다사650265,25,성남시,구미동
다사658266,25,성남시,구미동
다사661263,23,성남시,구미동
다사657267,22,성남시,구미동
다사661267,22,성남시,구미동
다사661262,17,성남시,구미동
다사663266,16,성남시,구미동
다사658263,15,성남시,구미동
다사658265,15,성남시,구미동
다사660262,15,성남시,구미동
다사664267,15,성남시,구미동
다사667269,15,성남시,구미동
다사660264,14,성남시,구미동
다사660274,14,성남시,구미동
다사663268,14,성남시,구미동
다사665264,14,성남시,구미동
다사655267,13,성남시,구미동
다사655273,13,성남시,구미동
다사658274,13,성남시,구미동
다사659261,13,성남시,구미동
다사663261,13,성남시,구미동
다사664266,13,성남시,구미동
다사666271,13,성남시,구미동
다사668269,12,성남시,구미동
다사647268,8,성남시,구미동
다사651265,8,성남시,구미동
다사652269,8,성남시,구미동
다사655266,8,성남시,구미동
다사657273,8,성남시,구미동
다사657274,8,성남시,구미동
다사658268,8,성남시,구미동
다사658272,8,성남시,구미동
다사659274,8,성남시,구미동
다사660272,8,성남시,구미동
다사660273,8,성남시,구미동
다사661272,8,성남시,구미동
다사663265,8,성남시,구미동
